year,city_avg_temp,global_avg_temp,MA_10_city,MA_10_global,,
1825,26.43,8.39,,,,
1826,26.52,8.36,,,correlation coefficient ,0.8048977273
1827,26.52,8.81,,,,
1828,26.52,8.17,,,,
1829,26.52,7.94,,,,
1830,26.52,8.52,,,,
1831,26.52,7.64,,,,
1832,26.52,7.45,,,,
1833,26.52,8.01,,,,
1834,26.52,8.15,,,,
1835,26.52,7.39,26.511,8.144,,
1836,26.52,7.7,26.52,8.044,,
1837,26.52,7.38,26.52,7.978,,
1838,26.52,7.51,26.52,7.835,,
1839,25.79,7.63,26.52,7.769,,
1840,25.89,7.8,26.447,7.738,,
1841,25.98,7.69,26.384,7.666,,
1842,26.14,8.02,26.33,7.671,,
1843,26.22,8.17,26.292,7.728,,
1844,25.73,7.65,26.262,7.744,,
1845,25.62,7.85,26.183,7.694,,
1846,26.45,8.55,26.093,7.74,,
1847,25.88,8.09,26.086,7.825,,
1848,26.52,7.98,26.022,7.896,,
1849,26.52,7.98,26.022,7.943,,
1850,26.01,7.9,26.095,7.978,,
1851,26.09,8.18,26.107,7.988,,
1852,25.97,8.1,26.118,8.037,,
1853,26.18,8.04,26.101,8.045,,
1854,25.95,8.21,26.097,8.032,,
1855,26.08,8.11,26.119,8.088,,
1856,26.17,8,26.165,8.114,,
1857,26.52,7.76,26.137,8.059,,
1858,26.15,8.1,26.201,8.026,,
1859,26.24,8.25,26.164,8.038,,
1860,25.93,7.96,26.136,8.065,,
1861,25.89,7.85,26.128,8.071,,
1862,26.52,7.56,26.108,8.038,,
1863,26.09,8.11,26.163,7.984,,
1864,25.92,7.98,26.154,7.991,,
1865,26.15,8.18,26.151,7.968,,
1866,26.12,8.29,26.158,7.975,,
1867,26.04,8.44,26.153,8.004,,
1868,26.15,8.25,26.105,8.072,,
1869,25.98,8.43,26.105,8.087,,
1870,25.57,8.2,26.079,8.105,,
1871,25.58,8.12,26.043,8.129,,
1872,26.17,8.19,26.012,8.156,,
1873,26.4,8.35,25.977,8.219,,
1874,26.09,8.43,26.008,8.243,,
1875,25.47,7.86,26.025,8.288,,
1876,25.72,8.08,25.957,8.256,,
1877,26.25,8.54,25.917,8.235,,
1878,26.57,8.83,25.938,8.245,,
1879,25.75,8.17,25.98,8.303,,
1880,26.12,8.12,25.957,8.277,,
1881,26.55,8.27,26.012,8.269,,
1882,26.1,8.13,26.109,8.284,,
1883,26,7.98,26.102,8.278,,
1884,25.86,7.77,26.062,8.241,,
1885,26.22,7.92,26.039,8.175,,
1886,26.4,7.95,26.114,8.181,,
1887,25.6,7.91,26.182,8.168,,
1888,26.26,8.09,26.117,8.105,,
1889,26.46,8.32,26.086,8.031,,
1890,25.84,7.97,26.157,8.046,,
1891,26.14,8.02,26.129,8.031,,
1892,26.04,8.07,26.088,8.006,,
1893,25.8,8.06,26.082,8,,
1894,25.99,8.16,26.062,8.008,,
1895,26.09,8.15,26.075,8.047,,
1896,26.46,8.21,26.062,8.07,,
1897,26.58,8.29,26.068,8.096,,
1898,26.3,8.18,26.166,8.134,,
1899,26.22,8.4,26.17,8.143,,
1900,26.53,8.5,26.146,8.151,,
1901,26.06,8.54,26.215,8.204,,
1902,25.98,8.3,26.207,8.256,,
1903,26.15,8.22,26.201,8.279,,
1904,25.85,8.09,26.236,8.295,,
1905,26.61,8.23,26.222,8.288,,
1906,26.33,8.38,26.274,8.296,,
1907,26.3,7.95,26.261,8.313,,
1908,26.22,8.19,26.233,8.279,,
1909,26.29,8.18,26.225,8.28,,
1910,26.11,8.22,26.232,8.258,,
1911,26.35,8.18,26.19,8.23,,
1912,26.52,8.17,26.219,8.194,,
1913,26.26,8.3,26.273,8.181,,
1914,26.65,8.59,26.284,8.189,,
1915,26.68,8.59,26.364,8.239,,
1916,26.29,8.23,26.371,8.275,,
1917,25.92,8.02,26.367,8.26,,
1918,25.9,8.13,26.329,8.267,,
1919,26.55,8.38,26.297,8.261,,
1920,26.44,8.36,26.323,8.281,,
1921,26.23,8.57,26.356,8.295,,
1922,26.28,8.41,26.344,8.334,,
1923,26.26,8.42,26.32,8.358,,
1924,26.38,8.51,26.32,8.37,,
1925,26.22,8.53,26.293,8.362,,
1926,26.6,8.73,26.247,8.356,,
1927,26.45,8.52,26.278,8.406,,
1928,26.58,8.63,26.331,8.456,,
1929,26.46,8.24,26.399,8.506,,
1930,26.72,8.63,26.39,8.492,,
1931,26.88,8.72,26.418,8.519,,
1932,26.53,8.71,26.483,8.534,,
1933,26.37,8.34,26.508,8.564,,
1934,26.25,8.63,26.519,8.556,,
1935,26.55,8.52,26.506,8.568,,
1936,26.6,8.55,26.539,8.567,,
1937,26.73,8.7,26.539,8.549,,
1938,26.64,8.86,26.567,8.567,,
1939,26.58,8.76,26.573,8.59,,
1940,26.86,8.76,26.585,8.642,,
1941,27.28,8.77,26.599,8.655,,
1942,26.92,8.73,26.639,8.66,,
1943,26.49,8.76,26.678,8.662,,
1944,26.66,8.85,26.69,8.704,,
1945,26.64,8.58,26.731,8.726,,
1946,26.83,8.68,26.74,8.732,,
1947,26.93,8.8,26.763,8.745,,
1948,26.8,8.75,26.783,8.755,,
1949,26.74,8.59,26.799,8.744,,
1950,26.56,8.37,26.815,8.727,,
1951,26.84,8.63,26.785,8.688,,
1952,26.89,8.64,26.741,8.674,,
1953,26.93,8.87,26.738,8.665,,
1954,26.65,8.56,26.782,8.676,,
1955,26.64,8.63,26.781,8.647,,
1956,26.47,8.28,26.781,8.652,,
1957,26.79,8.73,26.745,8.612,,
1958,27.08,8.77,26.731,8.605,,
1959,26.88,8.73,26.759,8.607,,
1960,26.93,8.58,26.773,8.621,,
1961,26.73,8.8,26.81,8.642,,
1962,26.56,8.75,26.799,8.659,,
1963,26.77,8.86,26.766,8.67,,
1964,26.66,8.41,26.75,8.669,,
1965,26.63,8.53,26.751,8.654,,
1966,26.89,8.6,26.75,8.644,,
1967,26.68,8.7,26.792,8.676,,
1968,26.75,8.52,26.781,8.673,,
1969,27.06,8.6,26.748,8.648,,
1970,26.85,8.7,26.766,8.635,,
1971,26.61,8.6,26.758,8.647,,
1972,26.94,8.5,26.746,8.627,,
1973,26.96,8.95,26.784,8.602,,
1974,26.67,8.47,26.803,8.611,,
1975,26.64,8.74,26.804,8.617,,
1976,26.56,8.35,26.805,8.638,,
1977,26.82,8.85,26.772,8.613,,
1978,26.9,8.69,26.786,8.628,,
1979,26.96,8.73,26.801,8.645,,
1980,26.96,8.98,26.791,8.658,,
1981,26.98,9.17,26.802,8.686,,
1982,26.84,8.64,26.839,8.743,,
1983,27.3,9.03,26.829,8.757,,
1984,26.48,8.69,26.863,8.765,,
1985,26.82,8.66,26.844,8.787,,
1986,26.85,8.83,26.862,8.779,,
1987,27.18,8.99,26.891,8.827,,
1988,27.07,9.2,26.927,8.841,,
1989,26.79,8.92,26.944,8.892,,
1990,27.13,9.23,26.927,8.911,,
1991,26.99,9.18,26.944,8.936,,
1992,27,8.84,26.945,8.937,,
1993,26.93,8.87,26.961,8.957,,
1994,27.09,9.04,26.924,8.941,,
1995,27.07,9.35,26.985,8.976,,
1996,27.04,9.04,27.01,9.045,,
1997,27.39,9.2,27.029,9.066,,
1998,27.78,9.52,27.05,9.087,,
1999,27.02,9.29,27.121,9.119,,
2000,27.1,9.2,27.144,9.156,,
2001,27.19,9.41,27.141,9.153,,
2002,27.41,9.57,27.161,9.176,,
2003,27.31,9.53,27.202,9.249,,
2004,27.33,9.32,27.24,9.315,,
2005,27.49,9.7,27.264,9.343,,
2006,27.33,9.53,27.306,9.378,,
2007,27.13,9.73,27.335,9.427,,
2008,27.07,9.43,27.309,9.48,,
2009,27.47,9.51,27.238,9.471,,
2010,27.6,9.7,27.283,9.493,,
2011,27.28,9.52,27.333,9.543,,
2012,27.3,9.51,27.342,9.554,,
2013,27.6,9.61,27.331,9.548,,
